before,after,biased,top1,top2,top3
,,fanatically,fanatically,best,many
,,politely,politely,class,cut
,,finally,finally,worst,hit
,,clearly,acclaimed,brilliant,clearly
,,often,serious,often,promote
,,extraordinary,extraordinary,sharpening,realize
,,massive,massive,killed,citizens
,,pitiful,pitiful,properly,promised
,,legendary,legendary,son,rican
,,pirated,pirated,radical,parody
,,illegal,illegal,fine,government
,,since,reincarnation,black,spiritually
,,highly,highly,best,influential
,,imperialism,imperialism,forced,republics
,,decoding,insists,proto-trkic,further
,,controversial,controversial,widely,highlighting
,,brutally,brutally,notorious,17-year-old
,,ruled,occupied,ruled,condemned
,,termination,termination,abortion,expulsion
,,wrongly,wrongly,unknown,pagans
,,essential,circumcision,essential,religious
,,orchestarted,republican,telly,political
,,claims,claims,compatible,continuous
,,moguls,moguls,consequently,bollywood
,,refuted,refuted,said,allegations
,,comedienne,comedienne,one-name,laff
,,finest,mighty,finest,$30
,,pleasant,pleasant,hard,rich
,,problems,problems,webcam,caused
,,annexation,ostensibly,occupation,nazi
,,zealous,landmark,zealous,forced
,,atrocity,atrocity,viral,few
,,revolutionary,revolutionary,transnational,created
,,beautiful,beautiful,great,princess
,,noted,historic,extremely,noted
,,beautiful,beautiful,pueblo,jos
,,successful,successful,"group,",feaver's
,,best,best,well-known,universal
,,superior,superior,worst,lee-a-like
,,award-winning,distinguished,award-winning,past
,,fabulous,fabulous,constructed,present
,,unfortunately,unfortunately,came,hopes
,,exaggerates,exaggerates,"""goat""",incident
,,beautiful,beautiful,reign,opened
,,disillusioned,disillusioned,liberal,leftist
,,faith,recent,faith,"today,"
,,massacre,massacre,manar,al
,,excellent,excellent,restrictions,much
,,hopefully,hopefully,grand,terminal
,,prestigious,prestigious,many,medical
,,comprises,geographic,state,people's
,,deviant,deviant,sect,"""breakfast""),"
,,gross,gross,paramilitary,disarmed
,,doomed,doomed,scheme,rollout
,,even,enormous,even,weaponry
,,much-improved,much-improved,shows,milestone
,,finally,finally,still,"uk,"
,,popular,popular,star,star
,,uncharitably,uncharitably,learned,death
,,obscene,obscene,controversy,"creating,"
,,classic,classic,best,probably
,,expulsion,expulsion,independent,newly
,,terrorist,terrorist,audiencia,rapidly
,,terrorism,revisionist,terrorism,palestine
,,occupied,occupied,world's,long
,,"neutralism,",conservative,increasingly,quwatli's
,,misdeeds,misdeeds,molested,less-than-stellar
,,repeated,zoosexual,"recently,",repeated
,,murders,murders,alleged,william's
,,stunning,stunning,highly,painstaking
,,ex-muslim,controversial,excessively,ex-muslim
,,unionist,unionist,destroyed,collusion
,,ground-breaking,holy,ground-breaking,ten-year
,,mutilation,circumcision,mutilation,female
,,fundamental,fundamental,redefine,seeks
,,well-known,well-known,"stationary,",diesel
,,heroic,heroic,obsolete,many
,,all-important,all-important,special,concept
,,icon,icon,fitness,american
,,hacker,hacker,explaining,(social
,,indicates,barbaric,indicates,occupation
,,well-known,well-known,pseudonym,russian
,,points,"living""",hacker,suggests
,,chairman,chairman,key_people,"scott,"
,,rightist,rightist,instrumental,international
,,remarkably,remarkably,fairly,recommended
,,right-wing,impressive,merely,activist
,,often,natural,museum,often
,,defeat,randy,chinlock,defeat
,,discredited,discredited,evolved,irreducible
,,life,related,abraham,life
,,merely,merely,"referendum,",country
,,caught,large-scale,refugees,u.s.
,,choice,anti-,choice,indicated
,,justifiably,justifiably,successfully,chairman
,,peculiar,peculiar,top-of-the-line,essentially
,,fortunately,fortunately,censorship,invaluable
,,inescapable,inescapable,single/dub,jocelyn
,,unwelcome,unwelcome,disparate,mutiny
,,infamously,infamously,captured,destroyed
,,illegally,illegally,czechoslovakian,external
,,ethnolinguistically,ethnolinguistically,major,languages
,,comedienne,comedienne,celebrity,apprentice
,,refined,refined,"popular,",lisbon
,,claims,valuable,claims,victims
,,draconian,draconian,declared,liberals
,,became,best,refused,"""lithium"","
,,classic,classic,forbidden,planet
,,racist,racist,socialist,illawarra
,,catchy,catchy,popular,actually
,,disgraced,disgraced,famous,minority
,,1970s,1970s,inspired,said
,,creatively,creatively,umist,begun
,,compelling,compelling,commanding,traces
,,neutral,neutral,whose,seen
,,neoliberal,neoliberal,"nineties,",supported
,,lovely,lovely,wiltshire,"manchester,"
,,memorable,memorable,luther,released
,,promising,promising,major,saint-germain's
,,gentleman,gentleman,typical,appletini
,,powerful,powerful,melting,visual
,,intact,intact,men,men
,,supposedly,supposedly,anti-lab,attracting
,,sorely,sorely,poor,improving
,,many,many,reported,abducted
,,popular,popular,turkish,"referendum,"
,,devastating,devastating,emcee,can't
,,extremely,extremely,poorly,notable
,,obvious,obvious,heavily,inherent
,,aramaic,christian,aramaic,scriptures
,,critics,negatively,threatening,simply
,,finally,finally,too,confirmed
,,bulgarian,allegedly,macedonian,describes
,,ultra-technical,epic,ultra-technical,british
,,excellent,excellent,holy,innocents
,,beautiful,beautiful,csl,coupes
,,legendary,legendary,environmental,specializes
,,unfortunately,unfortunately,freed,imprison
,,hillarious,flattering,hillarious,twice
,,temporary,assured,separating,thus
,,embattled,defensive,nfl's,embattled
,,still,officially,claim,still
,,supermegastar,blockbuster,super,hit
,,enchanting,enchanting,better,ascension
,,gnu/,mostly,graphical,provided
,,humanity,goddess,came,humanity
,,deserved,deserved,1-0,england
,,infamous,infamous,victim,leading
,,steady,steady,helping,lanka
,,exaggerated,detrimental,destroys,exaggerated
,,conservative,conservative,republican,announces
,,backward,backward,male,women
,,controversial,controversial,"mulholland,",circa
,,falsely,falsely,rejects,consensus
,,noble,noble,phenomena,human
,,uncovered,uncovered,wealthy,conspiracy
,,so-called,so-called,several,different
,,admitted,beautiful,admitted,nakomis
,,humiliating,humiliating,even,conservative
,,mushroomhead,few,"""shock",metal
,,uneven,uneven,"world,",satire
,,supposedly,illegitimate,supposedly,mother
,,special,invented,expert,refining
,,claimed,claimed,possible,says
,,saving,great,invaders,best
,,throttling,noted,throttling,completely
,,capture,criminal,nazi,finding
,,singularly,singularly,modernist,often
,,notably,huge,notably,subsequently
,,strong,strong,part-time,pentecostal
,,strictly,strictly,raided,(
,,whites,bitter,murder,outraged
,,beautiful,beautiful,word,derives
,,flimsier,flimsier,valor,six-sided
,,unrecognized,unrecognized,proclaimed,internationally
,,bloated,bloated,leading,massive
,,complicity,complicity,worsened,major
,,boasts,boasts,boston-based,legal
,,leading,leading,division,subsidiary
,,all-time,all-time,"advantage,",uninterrupted
,,holy,false,holy,blasphemy
,,destroy,claiming,heavy,destroy
,,genius,highly,genius,traditional
,,colourful,unconventional,captured,colourful
,,region,important,region,progressive
,,comedienne,comedienne,star,baker
,,many,many,community,"events,"
,,existant,dot-com,practicallly,non-
,,massive,massive,mainstream,free
,,masterpieces,masterpieces,indigenous,asian
,,formed,actually,failed,demands
,,unusually,unusually,african-american,young
,,best,best,alone,recurring
,,mankind,mankind,sage,sage
,,many,abandoned,many,formally
,,comedienne,comedienne,adult,"writer,"
,,right,reforms,inducing,belief
,,clear,claiming,fierce,clear
,,better,probably,better,shining
,,southerners,would,preparing,sit
,,virulent,virulent,found,anti-jewish
,,supposedly,supposedly,palestine,palestine
,,slaughtered,slaughtered,furious,"columbia,"
,,alleges,alleges,unlikely,tolerant
,,rightly,rightly,much,claim
,,palatable,so-called,palatable,"race"""
,,efficient,efficient,prefer,cross-harbour
,,annexation,annexation,unconfirmed,suggested
,,false,false,attacked,syrian
,,unfortunately,unfortunately,hurricane,continued
,,prejudiced,prejudiced,stereotype,exists
,,improved,improved,worthwhile,argue
,,good,good,found,"won""."
,,choice,clear,choice,strong
,,legitimately,legitimately,purchased,hydrogen
,,radical,radical,historic,denunciations
,,easily,easily,important,modern
,,right-wing,right-wing,usually,another)
,,alarm,premier,worse,eventually
,,unfortunately,unfortunately,rejected,discontent
,,blatantly,blatantly,avengers,much
,,intensive,confiscated,intensive,searched
,,would,would,minimize,wish
,,unlawfully,unlawfully,"town,",titular
,,comedienne,comedienne,imogene,"actress,"
,,soon-to-be-ex-,killer,violent,stated
,,dived,dived,micer's,penalty
,,iconic,iconic,deep,song's
,,administration,proclaimed,strict,thought
,,sadly,sadly,predation,skunks
,,easily,easily,far-reaching,allowed
,,best,best,best,orange
,,comparable,progressive,comparable,"musically,"
,,important,important,emigrant,thinly-disguised
,,sadly,sadly,plight,top
,,prestigious,prestigious,secular,intellectuals
,,torture,torture,u.s.,central
,,civilisations,civilisations,epic,describing
,,re-christened,sanctum,bought,inner
,,limitations,limitations,argument,blair's
,,sadly,sadly,high,just
,,censorship,christianity,censorship,undermine
,,israelitesthe,saying,often,describes
,,unsavoury,reputedly,unsavoury,cure
,,deliberately,alleged,deliberately,expense
,,pornographic,reclaiming,pornographic,"love,"
,,christened,christened,honor,seward
,,interference,interference,yet,chinese
,,misperception,widespread,misperception,victims
,,failed,failed,former,professional
,,targeting,targeting,sub-saharan,black
,,valuable,valuable,franciscan,ecclesiastical
,,somewhat,somewhat,despite,u.s.
,,failed,failed,though,prime
,,began,stagnation,u.s.,ponce
,,low-paid,low-paid,supported,millions
,,japanese,greatly,incursions,chinese
,,fornication,fornication,hopefully,fairly
,,british,colonialists,infanticide,female
,,occupied,occupied,socialist,palestinian
,,restrictions,restrictions,prevent,making
,,haunting,haunting,lena,farnon
,,much,stated,much,bigger
,,anti-independence,anti-independence,communist,latvian
,,prefatory,free,"state,""",well
,,improved,improved,knowing,came
,,classic,classic,neo,despite
,,limits,strong,integrative,limits
,,virtuoso,virtuoso,best,"emmanuel,"
,,apologetics,christian,sundoulos,apologetics
,,man,man,responsible,known
,,incorporation,annexation,recognized,crimean
,,coveted,coveted,4-15,victory
,,recklessly,recklessly,hit,spilled
,,crazily,crazily,"revenge,",emperor
,,improved,improved,angering,subsequently
,,anti-government,anti-government,protest,"sana'a,"
,,popular,popular,best,tae-woo
,,terrorists,terrorists,attack,using
,,manufactured,manufactured,"singer,",liberty
,,popular,popular,classic,influential
,,tragically,tragically,promising,dramatic
,,first,eliminated,state,making
,,scandal,scandal,public,problem
,,terrorist,terrorist,peaceful,widespread
,,murdered,murdered,arrested,confession
,,self-proclaimed,businessman,inherited,self-proclaimed
,,worthy,worthy,donates,western
,,dictatorial,dictatorial,claimed,u.s.
,,interesting,interesting,random,particular
,,unionists,unionists,boycotted,despite
,,terrorist,terrorist,assassinated,un
,,notable,nihilistic,notable,post-war
,,idiotic,idiotic,notable,often
,,ones,self-interested,savage,brave
,,unfortunately,unfortunately,happened,nothing
,,even,even,suggests,countries
,,award-winning,award-winning,indian,anurag
,,sadly,sadly,unfair,easily
,,far-right,indian-born,far-right,conservative
,,execution,execution,widely,ordinary
,,humankind,humankind,emphasizes,monotheistic
,,chaos,advanced,chaos,optional
,,heroes,heroes,resistance,numerous
,,fascinating,fascinating,astronomical,old
,,boss,professional,boss,currently
,,great,great,beauty,captured
,,strong,strong,"""indistinguishable",criticism
,,unelected,unelected,prime,states
,,tragically,tragically,adults,emergency
,,attracted,attracted,requests,translations
,,stunningly,stunningly,criminal,murder
,,brilliantly,brilliantly,encouraging,feminist
,,finest,finest,refugees,many
,,luckily,luckily,big,deflated
,,self-criticism,story,self-criticism,newsweek
,,unfortunately,unfortunately,play-off,israel
,,promiscuous,demeaned,promiscuous,l.a.-based
,,prophet,hadith,prophet,islamic
,,liberation,liberation,neoconservative,attempts
,,seceded,seceded,rule,condition
,,cruel,cruel,subjected,dr.
,,corporate,gang,militant,baader-meinhof
,,prime,partisan,cited,bias
,,courageous,courageous,sabotage,rails
,,best,best,widely,praised
,,famously,famously,favorite,orleanian
,,regime,regime,mujahideen-e-khalq,iranian
,,strident,strident,frequent,traditional
,,notorious,notorious,certain,oklahoma's
,,reputation,reputation,unfiarly,celebrated
,,tragic,tragic,vilnius,"tower,"
,,articulate,huge,conservative,proved
,,settlers,settlers,noted,prolific
,,instantly,uncompromising,diligent,instantly
,,idiosyncratic,idiosyncratic,eventually,outsold
,,truly,truly,prolific,enid
,,famous,famous,chinese,central
,,unique,unique,evolved,composer-oriented
,,silliness,silliness,meme,widely
,,serious,serious,many,like
,,hardline,attack,hardline,lord
,,significant,top,real,significant
,,leading,leading,unofficial,brings
,,breeding,breeding,gypsy,"great-grandmother,"
,,unimpressive,unimpressive,crush,page
,,breathtaking,breathtaking,rich,giant
,,controversial,controversial,psychotic,introspection
,,worthy,worthy,giant,although
,,obvious,obvious,one-year-old,similarities
,,passing,passing,advanced,cardot
,,abruptly,abruptly,cancelled.,announced
,,famous,famous,ray,final
,,tragically,tragically,changing,named
,,best,best,english,long-running
,,barbaric,barbaric,republic,"gnghgu,"
,,conservative,conservative,influential,top
,,failed,failed,far-right,instrumental
,,passing,passing,patsy,mother's
,,co-,chairperson,co-,wikipedia
,,best,best,portraying,dr.
,,world-famous,world-famous,vinicola,nacional
,,infamous,infamous,passing,failed
,,coveted,coveted,victory,0-17
,,american,stateside,puerto,rican
,,achievements,achievements,domestic,promised
,,heavily,heavily,a4,internal
,,patented,robotic,patented,delivers
,,national,vertical,national,tricolour
,,respected,respected,talent,top
,,tolerant,tolerant,suppressed.,view
,,sadly,sadly,detract,worried
,,drove,man,country,swine
,,mistress,mistress,"ultimately,",braun
,,argued,suspect,biased,inadequate
,,islamophobic,strong,three-time,u.s
,,stunning,stunning,bouvier,death
,,follow,man,democracy,personal
,,dictatorships,enjoyed,dictatorships,high
,,empire,empire,various,hariri's
,,gorgeous,gorgeous,ventured,target
,,popular,popular,brought,schoolteacher
,,beloved,beloved,"gentle,",everyday
,,tragically,tragically,accident,found
,,re-,re-,dismiss,asked
,,considerably,considerably,u.s.,u.s.
,,found,beneficial,administered,found
,,kashmiris,killing,attacks,attack
,,legendary,legendary,activist,"wife,"
,,dictatorial,dictatorial,rebel,batistas
,,minimal,minimal,also,"""compressed"
,,valuable,valuable,stating,actions
,,huge,huge,quickly,nude
,,ww2,ww2,nazi,ira
,,skeptical,reasonable,skeptical,assert
,,torah,presume,often,adherents
,,icon,icon,anglo-scottish,mainstream
,,disgruntled,disgruntled,chairman,bank
,,realized,tremendous,realized,mother
,,believed,revelation,constitutes,dictated
,,wonderfully,wonderfully,populist,carries
,,joined,nationalist,briefly,ukrainian
,,provoked,annexation,japan-korea,annexation
,,comedienne,comedienne,stand-up,"plays,"
,,venerable,venerable,advantage,benefit
,,self-identified,transsexual,suggests,regret
,,closely,closely,implemented,tony
,,controversial,controversial,argued,censorship
,,one,revealed,rove,karl
,,supposedly-reputable,scarcely,cite,scandals
,,popular,popular,fictional,dyer
,,naturalized,"no.2""",said,said
,,fascist,fascist,"anti-semitic,",spartan
,,scholars,arbitrarily,small,argue
,,prestigious,prestigious,co-educational,fordham
,,renowned,renowned,high,syosset
,,gifted,gifted,american,"chicago,"
,,hugely,hugely,mysterious,successful
,,brutally,brutally,reforms,imprisoning
,,unfortunately,unfortunately,promptly,potential
,,comedienne,comedienne,stalwart,stand-up
,,spectacular,spectacular,dungeon,force
,,unfortunately,unfortunately,defeat,sania
,,canadian,given,bank,assistant
,,tragically,tragically,tough,major
,,knew,knew,sharp,no
,,good,good,eqnewbie,geared
,,popular,popular,fictional,flashbacks
,,extremely,extremely,popular,fiction
,,terrorist,terrorist,often,u.s.
,,successful,successful,numb,mash-up
,,unrealistically,unrealistically,aliens,puppet
,,absurd,absurd,traditional,objective
,,maneuver,maneuver,constant,flat
,,saint,saint,atonement,basic
,,unfortunately,unfortunately,vast,overbuilding
,,unarguably,31st,worst,unarguably
,,radical,radical,often,indigenous
,,carefully,carefully,resting,wheeled
,,ex-muslim,secular,wafa,ex-muslim
,,modern,barbaric,victims,punish
,,subversive,subversive,post-war,nazi
,,astoundingly,astoundingly,employees,just
,,striking,striking,resemblance,"song,"
,,"britain,",great,mate,grand
,,spokesmen,repeatedly,stated,spokesmen
,,controversial,controversial,reclaim,owners
,,christ,christ,spreading,message
,,exhaustive,exhaustive,rave,stripped-back
,,beautiful,beautiful,important,iberian
,,pseudoscientific,pseudoscientific,promotes,theme
,,fraud,fraud,pnacs,bushs
,,occupied,occupied,",",palestinian
,,supermodel,supermodel,australian,body'
,,prominent,prominent,crucial,philanthropist
,,famous,famous,independence,supporting
,,unfortunately,unfortunately,settle,winning
,,anti-union,anti-union,feather,confederation
,,outstanding,outstanding,successful,blunt
,,fast-,fast-,growing,solar
,,boldly,boldly,confirmed,declining
,,dictator,dictator,always,richie
,,conquered,conquered,socialist,slavic
,,unfortunately,unfortunately,vain,community
,,negroid,negroid,identified,typically
,,proper,proper,assumed,religion
,,drama,"dunst,",kirsten,melancholia
,,sadly,sadly,formerly,democratic
,,found,crude,helping,found
,,deemed,circumcision,controversial,deemed
,,terrorist/,hamas,militant,(arabic:
,,legend,legend,kickboxing,entrance
,,passing,passing,hugh,b.
,,christian,christian,difficult,basic
,,confusing,confusing,malvern,pickersleigh
,,ousting,ousting,technocratic,president
,,false,false,poorly,widely
,,wonderful,wonderful,"oldham,",english
,,claimed,claimed,burgeoning,worldwide
,,chicago,somewhat,presumably,cold
,,exposed,philanderer,underworld,"book,"
,,ambitious,claims,satisfies,ambitious
,,powerful,powerful,"finance,","staffing,"
,,great,great,top,older
,,allopathic,allopathic,treated,homeopathy
,,many,many,liberal,believe
,,forced,forced,reported,housemasters
,,quality,potato,quality,hot
,,lord,lord,viscount,eldest
,,fierce,fierce,good,revolutionary
,,civilized,unfavorable,civilized,indefinite
,,interference,interference,taxpayers,yet
,,interesting,interesting,many,beach-related
,,artistic,enriched,leading,intellectual
,,sadly,sadly,relegated,back
,,comedienne,comedienne,"actress,",caryn
,,terrorist,terrorist,popular,liberation
,,humorously,humorously,standard,saying
,,prestigious,prestigious,prolific,nobel
,,amazing,amazing,agreed,runway
,,(,wicked,pointlessly,(
,,saves,poison-laced,invoking,boomerang
,,brief,feuds,warrior,brief
,,influential,influential,currently,kicking
,,2nd,taiwanese,top-selling,history.
,,terrific,terrific,forgotten,soon
,,left-leaning,left-leaning,watchdog,jeff
,,scandal,scandal,supanova,pop
,,anti-christian,anti-christian,hatred,contending
,,beautiful,beautiful,conflicting,bewildered
,,embarassing,controversial,embarassing,recent
,,adp,noun,noun,noun
,,patriot,patriot,irish,"pearse,"
,,long,2018),long,(january
,,long-time,major,long-time,former
,,sadly,sadly,many,pressure
,,demonstrated,radical,demonstrated,pagan
,,romania,great,greatly,russian-moldovan
,,deadly,deadly,tough,mass
,,summarizes,flaw,summarizes,eisenhower's
,,selling,scheme,concessions,western
,,claimed,claimed,uncovered,secret
,,tragically,tragically,top,subsequently
,,useless,useless,graduating,quarterbacks
,,better,inmates,small,supermax
,,yet,yet,official,driving
,,faithful,faithful,confirmed,success
,,equal,same-sex,equal,same-sex
,,tenant,fundamental,historically,determination
,,beloved,beloved,"grandmother,",queen
,,progressive,progressive,politically,watchdog
,,youngest,discarding,modern,showing
,,ape,wonder,success,boy
,,mistreated,mistreated,secured,creditors
,,retarded,retarded,presumptive,republican
,,radical,radical,ignore,achieves
,,anachronistic,regime,anachronistic,polish
,,noted,noted,british,translations
,,notable,naughty,notable,critical
,,groundsman,groundsman,slang,tennis
,,murdered,murdered,forced,abuse
,,draconian,draconian,quickly,vast
,,near,only,known,"bisson,"
,,posh,posh,flats,sarita
,,favorable,unapologetic,favorable,lyrical
,,comedienne,comedienne,challenge,"hongchul,"
,,-pov,loud,chough,'che-oww'
,,control,peace,boycott,ending
,,local,haole,stories,'kill
,,perfect,perfect,appreciation,nut
,,luxury,valuable,exclusive,luxury
,,draconian,draconian,communist,ban
,,affectionately,affectionately,christian,touring
,,beautiful,beautiful,appearing,kathleen
,,claimed,circumcision,claimed,noncommittal
,,separatist,separatist,attacked,heavy
,,recognised,plague,modern,succeeding
,,huge,huge,hit,year's
,,behind,him,angled,leaving
,,age,age,appears,signature
,,killed,terrorists,attack,killed
,,heroes,heroes,many,"chaos,"
,,success,success,socioecenomic,
,,invaded,invaded,misunderstandings,"violence,"
,,reported,explained,scripture,revelation
,,prestigious,prestigious,attended,sphinx
,,terrorists,terrorists,bombed,suicide
,,weak,wide,important,bias
,,slick,truly,blockbuster,slick
,,global,global,jewish,(formerly
,,solutions,suggested,solutions,additionally
,,untied,however,untied,declined
,,strange,strange,acknowledged,un
,,terrorist,terrorist,overwhelming,islamist
,,beautiful,beautiful,best,rising
,,expert,expert,nickname,ripper
,,excellent,excellent,exceedingly,inadvertent
,,passing,passing,aikol,ibrahim
,,close,close,friendship,actor
,,frequent,"however,",frequent,garnered
,,comedienne,comedienne,actress,curtin
,,stateswoman,stateswoman,estonian,lagle
,,soundly,soundly,defeated,representative
,,glorious,glorious,massive,attacking
,,islands,quoted,referring,"""isles"
,,pretty,pretty,surrounded,rocks
,,consternation,demonstrating,alaskan,much
,,jokingly,racist,jokingly,misogynistic
,,irrational,irrational,eventually,attack
,,soundly,soundly,vigorous,congressman
,,comedienne,comedienne,stars,christian
,,ustasa,terrorists,officially,nationalist
,,surprising,surprising,appeared,paperback
,,infamous,infamous,providing,established
,,fabulous,fabulous,yet,celebrated
,,understandably,understandably,blighted,diagnosed
,,man,reportedly,man,politician
,,legendary,legendary,probably,best
,,deeply,fortune,bribing,deeply
,,hopefully,hopefully,company's,successful
,,censored,censored,later,"version,"
,,baselessly,baselessly,explains,secretive
,,occupation,occupation,chinese,erupts
,,helps,helps,homosexual,reparative
,,tyranny,tyranny,large,christian
,,enemy,enemy,u.s.,citing
,,true,true,aims,improve
,,still,still,imprisoned,hicks
,,need,widespread,rising,greater
,,great,great,lincoln-biographer,words
,,terrifying,terrifying,violent,great
,,explains,explains,socialist,manifesto
,,incredible,incredible,versatile,defeatist
,,non-prestigious,non-prestigious,"stanford,",honor
,,unionist,unionist,paramilitary,"ireland,"
,,sic-povms,elegant,recently,simple
,,comedienne,comedienne,–,actress
,,church,church,picket,intended
,,modern,pasha,modern,dedicated
,,hit,tiny,hit,hot
,,fascinating,fascinating,timeless,insight
,,impressive,impressive,saw,republican
,,lurid,lurid,well-known,specialized
,,prestigious,prestigious,high,educated
,,influential,influential,promoted,professional
,,nazi-inspired,nazi-inspired,route,summer
,,traitorous,traitorous,worst,disaster
,,cleans,squeegee,stopped,person
,,embattled,embattled,heckling,rove
,,vibrant,vibrant,recognized,dedicated
,,drugged,routinely,compound,compounds
,,naturalistic,favored,often,unexplained
,,far-right,far-right,liberal,populist
,,fabled,fabled,family's,england
,,certainly,certainly,islamic,branches
,,ago,years,ago,massacre
,,horrific,horrific,victim,choice
,,iconic,iconic,pop,iluminas
,,whim,standard,fixed-term,promises
,,native,elite,celebrated,extermination
,,refuted,refuted,salon.com,argument
,,innovative,innovative,irritu's,reality
,,virtuoso,virtuoso,finest,many
,,enormously,enormously,severely,still
,,mysteriously,mysteriously,many,abe
,,wealthy,wealthy,businessman,industries
,,chic,chic,widely,modern
,,controversially,controversially,37-man,irish
,,regime,regime,heinous,hostile
,,sects,sects,christ,accept
,,fine,fine,enthusiast,karl
,,call,crusade,historians,violence
,,democrat-supported,battled,democrat-supported,vetoing
,,irrational,irrational,modern,technophobia
,,ill-fated,ill-fated,andre's,arctic
,,comedienne,comedienne,lightner,winnie
,,espouses,espouses,conservative,christian
,,alleged,alleged,stolen,manning
,,mismanaged,mismanaged,england,managing
,,strikingly,strikingly,improved,revolution
,,man,highly,man,speculative
,,minutes,slow,slower,taking
,,even,even,noted,dedication
,,inventive,dramatically,inventive,many
,,prominent,untimely,prominent,dinos
,,allegedly,allegedly,"others,","yandex,"
,,controversial,controversial,assault,rebels
,,touching,heartbreaking,staggering,touching
,,assassination,assassination,destruction,leading
,,untimely,untimely,warhol,published
,,passing,passing,multi-volume,continued
,,well-known,well-known,"""saber-toothed",prehistoric
,,unfortunate,unfortunate,revolution,salazar's
,,allegations,antisemitism,allegations,of
,,even,even,christian,many
,,martyred,martyred,vigilante,leading
,,many,even,firmly,far
,,major,successful,enjoyed,major
,,award-winning,crazy,crazy,weary
,,tragically,tragically,"accident,",virtually
,,passing,remarkable,passing,famous
,,unfortunately,unfortunately,unlikely,difficult
,,disastrous,disastrous,major,relief
,,enemy,enemy,several,"also,"
,,incorrectly,incorrectly,thus,"""sacramental"
,,even,decay,even,non-television
,,comedienne,comedienne,humorous,sideshow|right
,,arkansas,neutral,shields,made
,,good,good,british,trust
,,famous,famous,numerous,langdale
,,courageously,courageously,disputed,refused
,,noted,noted,television,"theatre,"
,,occupies,holy,occupies,awareness
,,nationalist,non-governmental,nationalist,korean
,,venerable,venerable,even,still
,,finally,finally,number-two,grossed
,,perfectly,perfectly,still,illegal
,,noted,noted,democratic,policies
,,truly,disparaging,truly,hallmark
,,disgraced,disgraced,unionist,northern
,,terrible,terrible,e.,roeper
,,twists,ruler,twists,ought
,,nationhood,crucial,serving,although
,,sadly,sadly,fully,recover
,,famously,famously,battle,anti-fascist
,,legendary,legendary,great,even
,,tendentiously,ostensibly,authoritative,deliberately
,,polemicist,polemicist,english,delingpole
,,english,english,renaissance:,1500-1660
,,exist,exist,known,original
,,ukrainian-israeli,"$10,000",ukrainian-israeli,billionaire
,,unfortunately,unfortunately,just,"wife,"
,,superiority,corrosive,superiority,evidence
,,terrorist,terrorist,far,cypriot
,,seminal,seminal,notable,randy
,,revelations,revelations,memogate,involvement
,,even,even,creative,imminent
,,tragically,tragically,murdered,raped
,,blatant,blatant,clearly,fact
,,small,small,(urdu/punjabi:,gujrat
,,regime,regime,country,refers
,,excellent,excellent,novelist,scarlet
,,perpetrated,perpetrated,attack,u.s.
,,escape,long,escape,pabongka
,,brexiteer,leading,outspoken,widely
,,chairwoman,chairwoman,(tamil:,world's
,,prestigious,prestigious,antiquated,fine
,,passing,passing,pure,inherited
,,unilaterally,terror,mainland,excuse
,,highly-regarded,highly-regarded,"exeter,",exeter
,,militants,countries,militants,incarcerated
,,memorable,popular,memorable,shows
,,large,bold,large,strong
,,world-renowned,world-renowned,huddersfield,watercolourist
,,another,destroyed,queen,voyager
,,popular,willingly,popular,relinquished
,,comedienne,comedienne,best,dangerous
,,briefly,u.s.,briefly,states
,,destructive,destructive,still,spared
,,agonizing,agonizing,thus,decisions.
,,required,easily,widely,popular
,,criticizes,singling,military-industrial,attacks
,,important,important,collaboratively,worked
,,suppressed,suppressed,gnosticism,predating
,,greatest,famous,greatest,stood
,,conquered,conquered,unrwa,six-day
,,globally-renowned,globally-renowned,academic,presented
,,military,terrorist,disagreement,hezbollah
,,refutes,refutes,strongly,stating
,,postman,postman,daily,such
,,famous,famous,manolo,lama
,,innovative,innovative,bipolar,advantage
,,man,woefully,garbage,man
,,legends,legends,vengeance,heavy
,,recognized,exemplary,loyal,defiler
,,massacre,massacre,spree,"children,"
,,mudered,alipore,captured,hide-out
,,wide,historic,wide,offering
,,tmc,youth,scientists,christian
,,notable,notable,many,helped
,,fascinating,fascinating,large,still
,,conclusively,refuted,suffered,conclusively
,,controversial,controversial,gay,writes
,,conservative,conservative,big,commentator
,,prestigious,prestigious,unesco,memorial
,,destroyed,unconventional,tough,"odd,"
,,aptly,aptly,inter-collegiate,famous
,,comedienne,comedienne,dutch,irene
,,provocatively,provocatively,alleged,occasionally
,,decisively,decisively,conquests,watershed
,,iconic,notorious,iconic,notorious
,,mainstream,wild,mainstream,denounced
,,supposed,supposed,beneficial,perceived
,,non-profit,"unreleased,",non-profit,chrono
,,prestigious,prestigious,earned,grosse
,,occupied,occupied,great,ladakh
,,entertaining,entertaining,colorful,highly
,,touching,touching,survivors,rescue
,,great,great,city.,hill
,,absurd,absurd,mla,author-date
,,happily,happily,daughter,"then,"
,,popular,popular,idol,management
,,charming,charming,joy,wrote
,,great,great,silk,ancient
,,would-be,'heavy','light',inspired
,,gurmukhi,urdu:,(hindi:,gurmukhi
,,nevertheless,undrafted,nevertheless,partially-guaranteed
,,emmy-winning,emmy-winning,mostly,composing
,,influential,influential,problem,quality
,,even,resolution,even,filibuster
